player_name,team_abbr,draft_round,overall_pick,team_rec_yards,team_rec_rank
Travis Hunter,JAX,1,2,3722.0,26.0
Tetairoa McMillan,CAR,1,8,3411.0,31.0
Emeka Egbuka,TAM,1,19,,
Matthew Golden,GNB,1,23,,
Jayden Higgins,HOU,2,34,4479.0,10.0
Luther Burden,CHI,2,39,3552.0,29.0
Tre Harris,LAC,2,55,4143.0,16.0
Jack Bech,LVR,2,58,,
Kyle Williams,NWE,3,69,,
Isaac TeSlaa,DET,3,70,5034.0,1.0
Pat Bryant,DEN,3,74,3967.0,21.0
Jaylin Noel,HOU,3,79,4479.0,10.0
Savion Williams,GNB,3,87,,
Tai Felton,MIN,3,102,4624.0,7.0
Chimere Dike,TEN,4,103,3621.0,27.0
Dont'e Thornton,LVR,4,108,,
Arian Smith,NYJ,4,110,4016.0,20.0
Jaylin Lane,WAS,4,128,4777.0,3.0
Jalen Royals,KAN,4,133,,
Elic Ayomanor,TEN,4,136,3621.0,27.0
Jordan Watkins,SFO,4,138,,
KeAndre Lambert-Smith,LAC,5,158,4143.0,16.0
Tory Horton,SEA,5,166,4347.0,12.0
LaJohntay Wester,BAL,6,203,4618.0,8.0
Jimmy Horn,CAR,6,208,3411.0,31.0
